Player,Drafted_perc,Actual
Anthony Davis,0.8466,56
Michael Porter Jr.,0.0403,35.5
Nikola Jokic,0.7737,31.5
LeBron James,0.9129,40.5
Jamal Murray,0.5299,29.75
Kentavious Caldwell-Pope,0.5277,26.25
Rajon Rondo,0.4842,26.25
Dwight Howard,0.16,23.75
Danny Green,0.1643,22.25
Jerami Grant,0.1077,18.5
Mason Plumlee,0.037,18.5
Monte Morris,0.1371,17.25
Markieff Morris,0.0925,17.25
Paul Millsap,0.1338,16
Kyle Kuzma,0.0805,16
Alex Caruso,0.2013,15.5
PJ Dozier,0.0033,11.75
Gary Harris,0.0936,7
Torrey Craig,0.1534,6
J.R. Smith,0.0054,4.75
Bol Bol,0.0054,2
JaVale McGee,0.4897,1
Talen Horton-Tucker,0.0065,0
Devontae Cacok,0.0033,0
Kostas Antetokounmpo,0.0011,0
Keita Bates-Diop,0.0011,0
Avery Bradley,0.0011,0